2018-02-01 22:05:35,298 INFO  - Starting HiveMQ Server
2018-02-01 22:05:35,301 INFO  - HiveMQ version: 3.3.2
2018-02-01 22:05:35,301 INFO  - HiveMQ home directory: /home/cloves/Documentos/estudos_novo_trabalho/mqtt_python/hivemq-3.3.2
2018-02-01 22:05:35,330 INFO  - Log Configuration was overridden by /home/cloves/Documentos/estudos_novo_trabalho/mqtt_python/hivemq-3.3.2/conf/logback.xml
2018-02-01 22:06:20,342 INFO  - Loaded Plugin HiveMQ JMX Metrics Reporting Plugin - v3.0.0
2018-02-01 22:06:20,343 INFO  - Loaded Plugin HiveMQ JVM Metrics Plugin - v3.1.0
2018-02-01 22:06:20,368 INFO  - JMX Metrics Reporting started.
2018-02-01 22:06:20,392 INFO  - No user for Web UI configured. Starting with default user
2018-02-01 22:06:20,392 INFO  - Starting Web UI on address 127.0.0.1 and port 8080
2018-02-01 22:06:21,285 INFO  - Started Web UI in 893ms
2018-02-01 22:06:21,302 INFO  - Starting TCP listener on address 0.0.0.0 and port 1883
2018-02-01 22:06:21,338 INFO  - Started TCP Listener on address 0.0.0.0 and on port 1883
2018-02-01 22:06:21,340 INFO  - Started HiveMQ in 46046ms
2018-02-01 22:06:21,343 INFO  - No valid license file found. Using evaluation license, restricted to 25 connections.
2018-02-01 23:00:29,812 INFO  - Shutting down HiveMQ. Please wait, this could take a while...
